Ticker,Name,Shares Held,Market Value,Percentage Of Net Assets,,,,,,,,,,,,,,
9107.T,KAWASAKI KISEN KAI,58410,1397368.42,6.78%,,,,,,,,,,,,,,
9104.T,MITSUI O.S.K.LINES,45091,1065754.83,5.17%,,,,,,,,,,,,,,
HLAG.DE,HAPAG-LLOYD AG,4997,1009130.71,4.90%,,,,,,,,,,,,,,
011200.KS,HMM COMPANY LTD,66992,1007680.54,4.89%,,,,,,,,,,,,,,
1308.HK,SITC INTERNATIONAL,528263,953270.73,4.63%,,,,,,,,,,,,,,
AMKBY,A.P. MOLLER-MAERSK,516,941701.12,4.57%,,,,,,,,,,,,,,
FRO,FRONTLINE PLC,64997,924907.31,4.49%,,,,,,,,,,,,,,
1919.HK,COSCO SHIPPING HLD,849369,805381.92,3.91%,,,,,,,,,,,,,,
316.HK,ORIENT OVERSEAS INTL,60794,805331.58,3.91%,,,,,,,,,,,,,,
STNG,SCORPIO TANKERS INC,17481,784372.47,3.81%,,,,,,,,,,,,,,
EURN.BR,EURONAV,45768,724136.66,3.51%,,,,,,,,,,,,,,
DFDS.CO,DFDS AS,16458,624746.42,3.03%,,,,,,,,,,,,,,
WAWI.OL,WALLENIUS WILH ASA,89486,566923.51,2.75%,,,,,,,,,,,,,,
MATX,MATSON INC,7407,564931.89,2.74%,,,,,,,,,,,,,,
028670.KS,PAN OCEAN CO LTD,105383,429227.38,2.08%,,,,,,,,,,,,,,
DNORD.CO,D/S NORDEN,7262,372453.32,1.81%,,,,,,,,,,,,,,
SBLK,STAR BULK CARRIERS CORP.,20133,368232.57,1.79%,,,,,,,,,,,,,,
INSW,INTERNATIONAL SEAWAYS INC,9622,348508.84,1.69%,,,,,,,,,,,,,,
ZIM,ZIM INTEGRATED SHIPPING SERV SHS,23536,322678.56,1.57%,,,,,,,,,,,,,,
FLNG,FLEX LNG LTD (BM),10457,318377.16,1.55%,,,,,,,,,,,,,,
SNI.OL,STOLT-NIELSEN LTD,12690,316338.27,1.54%,,,,,,,,,,,,,,
2343.HK,PACIFIC BASIN SHIP,1031585,315960.59,1.53%,,,,,,,,,,,,,,
GOGL,GOLDEN OCEAN GROUP,38812,297986.41,1.45%,,,,,,,,,,,,,,
DAC,DANAOS CORPORATION,4062,265736.04,1.29%,,,,,,,,,,,,,,
BWLPG.OL,BW LPG LTD,27861,256065.49,1.24%,,,,,,,,,,,,,,
DHT,DHT HOLDINGS INC,31889,255112,1.24%,,,,,,,,,,,,,,
SFL,SFL CORPORATION LTD,27164,255613.24,1.24%,,,,,,,,,,,,,,
1138.HK,COSCO SHIPPING ENE,254111,227330.73,1.10%,,,,,,,,,,,,,,
CMRE,COSTAMARE INC,23836,215954.16,1.05%,,,,,,,,,,,,,,
HAUTO NO,HOEGH AUTOLINERS,37446,215228.63,1.04%,,,,,,,,,,,,,,
TNK,TEEKAY TANKERS LTD,5725,207130.5,1.01%,,,,,,,,,,,,,,
NVGS,NAVIGATOR HLDGS LTD,15148,198438.8,0.96%,,,,,,,,,,,,,,
LPG,DORIAN LPG LTD,7911,185592.06,0.90%,,,,,,,,,,,,,,
MPCC.OL,MPC CONTAIN SHIPS,87094,168409.62,0.82%,,,,,,,,,,,,,,
NAT,NORDIC AMERICAN TANKERS LIMITE COM,40936,149007.04,0.72%,,,,,,,,,,,,,,
CLCO.OL,COOL COMPANY LTD,10538,138361.26,0.67%,,,,,,,,,,,,,,
GSL,GLOBAL SHIP LEASE INC NEW,7116,136983,0.66%,,,,,,,,,,,,,,
OET.OL,OKEANIS ECO TANKER,6456,132483.36,0.64%,,,,,,,,,,,,,,
NMM,NAVIOS MARITIME PARTNERS L P COM UNIT LPI,5918,125520.78,0.61%,,,,,,,,,,,,,,
EGLE,EAGLE BULK SHIPPING INC,2682,115352.82,0.56%,,,,,,,,,,,,,,
GNK,GENCO SHIPPING & TRADING LTD SHS,8299,116020.02,0.56%,,,,,,,,,,,,,,
TK,TEEKAY CORPORATION,19973,115443.94,0.56%,,,,,,,,,,,,,,
9110.T,NS UNITED KAIUN KA,4703,114034.68,0.55%,,,,,,,,,,,,,,
005880.KS,KOREA LINE CORP,62921,92376.16,0.45%,,,,,,,,,,,,,,
B7C.F,D AMICO INTL SHIP,243584,91298.74,0.44%,,,,,,,,,,,,,,
GLOP,GASLOG PARTNERS LP,10052,86045.12,0.42%,,,,,,,,,,,,,,
ASC,ARDMORE SHIPPING CORP,6737,80911.37,0.39%,,,,,,,,,,,,,,
SB,SAFE BULKERS INC,23657,79960.66,0.39%,,,,,,,,,,,,,,
NETI,ENETI INC,7538,79224.38,0.38%,,,,,,,,,,,,,,
DSX,DIANA SHIPPING INC,16900,67093,0.33%,,,,,,,,,,,,,,
S56.SI,SAMUDERA SHIP LINE,105740,68866.77,0.33%,,,,,,,,,,,,,,
003280.KS,HEUNG A SHIPPING,47396,50569.79,0.25%,,,,,,,,,,,,,,
9308.T,INUI GLOBAL LOGIST,5115,47548.87,0.23%,,,,,,,,,,,,,,
KNOP,KNOT OFFSHORE PARTNERS LP,6658,37284.8,0.18%,,,,,,,,,,,,,,
GRIN,GRINDROD SHIPPING HOLDINGS LTD SHS,3724,32808.44,0.16%,,,,,,,,,,,,,,
OP,OCEANPAL INC,93,354.33,0.00%,,,,,,,,,,,,,,
